Numer RSPO;REGON;NIP;Typ;Nazwa;Kod terytorialny województwo;Kod terytorialny powiat;Kod terytorialny gmina;Kod terytorialny miejscowość;Kod terytorialny ulica;Województwo;Powiat;Gmina;Miejscowość;Rodzaj miejscowości;Ulica;Numer budynku;Numer lokalu;Kod pocztowy;Poczta;Telefon;Faks;E-mail;Strona www;Publiczność status;Kategoria uczniów;Specyfika placówki;Imię i nazwisko dyrektora;Data założenia;Data rozpoczęcia działalności;Data likwidacji;Typ organu prowadzącego;Nazwa organu prowadzącego;REGON organu prowadzącego;NIP organu prowadzącego;Województwo organu prowadzącego;Powiat organu prowadzącego;Gmina organu prowadzącego;Miejsce w strukturze;RSPO podmiotu nadrzędnego;Typ podmiotu nadrzędnego;Nazwa podmiotu nadrzędnego;Liczba uczniów;Tereny sportowe;Języki nauczane;Czy zatrudnia logopedę;Czy zatrudnia psychologa;Czy zatrudnia pedagoga;Oddziały podstawowe wg specyfiki;Oddziały dodatkowe;Zawód;Zawód artystyczny;Zawód w KPSS;Dziedzina BCU
"17453";"=""243048406""";"=""6342538071""";"Placówka doskonalenia nauczycieli";"""KREATYWNA EDUKACJA"" MAGDALENA ŁABUŚ NIEPUBLICZNY OSRODEK DOSKONALENIA NAUCZYCIELI";"=""24""";"=""2469""";"=""2469011""";"=""0937474""";"=""20291""";"ŚLĄSKIE";"Katowice";"Katowice";"Katowice";"miasto";"ul. Juliusza Słowackiego";"=""18""";"=""21""";"=""40-093""";"Katowice";"=""327018151""";"=""327018151""";"biuro@kreatywna-edukacja.pl";"www.kreatywna-edukacja.pl";"niepubliczna";"Bez kategorii";"brak specyfiki";" ";"2006.09.01";"2006.09.01";"";"Spółki Handlowe";"DANE DO UZUPEŁNIENIA";"=""000000000""";"=""""";"MAZOWIECKIE";"Warszawa";"Śródmieście";"samodzielna";"";"";"";"0";"";"";"Nie";"Nie";"Nie";"";"";"";"";"";""
"131659";"=""365324688""";"=""6342868118""";"Szkoła podstawowa";"AACADEMY NIEPUBLICZNA SPECJALNA SZKOŁA PODSTAWOWA";"=""24""";"=""2469""";"=""2469011""";"=""0937474""";"=""26102""";"ŚLĄSKIE";"Katowice";"Katowice";"Katowice";"miasto";"ul. Zielonogórska";"=""1""";"=""""";"=""40-710""";"Katowice";"=""601290441""";"=""""";"a.nowinska@terapiairozwoj.com";"";"niepubliczna";"Dzieci lub młodzież";"specjalna";"AGNIESZKA NOWIŃSKA";"2016.08.29";"2016.09.01";"";"Spółki Handlowe";"AACADEMY SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ";"=""364828381""";"=""""";"ŚLĄSKIE";"Katowice";"Katowice";"samodzielna";"";"";"";"77";"inne urządzenia sportowe";"angielski";"Tak";"Tak";"Tak";"specjalny";"";"";"";"";""
"131649";"=""365321939""";"=""6342868118""";"Przedszkole";"AACADEMY NIEPUBLICZNE PRZEDSZKOLE SPECJALNE";"=""24""";"=""2469""";"=""2469011""";"=""0937474""";"=""26102""";"ŚLĄSKIE";"Katowice";"Katowice";"Katowice";"miasto";"ul. Zielonogórska";"=""1""";"=""""";"=""40-710""";"Katowice";"=""601290441""";"=""""";"a.nowinska@terapiairozwoj.com";"";"niepubliczna";"Dzieci lub młodzież";"specjalna";"AGNIESZKA NOWIŃSKA";"2016.08.31";"2016.09.01";"";"Spółki Handlowe";"AACADEMY SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ";"=""364828381""";"=""""";"ŚLĄSKIE";"Katowice";"Katowice";"samodzielna";"";"";"";"20";"inne urządzenia sportowe";"angielski";"Nie";"Tak";"Nie";"specjalny";"Wczesne wspomaganie rozwoju";"";"";"";""
"265796";"=""368911015""";"=""6462413171""";"Placówka Kształcenia Ustawicznego - bez szkół";"ACUART MIĘDZYNARODOWA SZKOŁA AKUPUNKTURY KLASYCZNEJ";"=""24""";"=""2469""";"=""2469011""";"=""0937474""";"=""08574""";"ŚLĄSKIE";"Katowice";"Katowice";"Katowice";"miasto";"ul. Klonowa";"=""41""";"=""""";"=""40-168""";"Katowice";"=""502073045""";"=""""";"sekretariat@acuart.pl";"";"niepubliczna";"Bez kategorii";"brak specyfiki";" ";"2017.11.28";"2017.12.01";"";"Osoba fizyczna";"CHMIELNICKI BARTOSZ";"=""""";"=""""";"ŚLĄSKIE";"Tychy";"Tychy";"samodzielna";"";"";"";"0";"";"";"Nie";"Nie";"Nie";"";"";"";"";"";""
"66318";"=""243079476""";"=""6341033305""";"Placówka Kształcenia Ustawicznego - bez szkół";"ADA-POŻ";"=""24""";"=""2469""";"=""2469011""";"=""0937474""";"=""03338""";"ŚLĄSKIE";"Katowice";"Katowice";"Katowice";"miasto";"ul. Antoniego Czechowa";"=""15""";"=""6""";"=""40-422""";"Katowice";"=""601516534""";"=""""";"ad69@o2.pl";"";"niepubliczna";"Bez kategorii";"brak specyfiki";"ADAM ŚLUCZKA";"1998.12.01";"1998.12.01";"";"Osoba fizyczna";"Śluczka Adam";"=""""";"=""""";"ŚLĄSKIE";"Katowice";"Katowice";"samodzielna";"";"";"";"0";"";"";"Nie";"Nie";"Nie";"";"";"";"";"";""
"129397";"=""362584673""";"=""6342895977""";"Przedszkole";"AKADEMIA MALUCHA PUCHATKOWO";"=""24""";"=""2469""";"=""2469011""";"=""0937474""";"=""05048""";"ŚLĄSKIE";"Katowice";"Katowice";"Katowice";"miasto";"ul. Grzegorza Fitelberga";"=""6""";"=""""";"=""40-588""";"Katowice";"=""605652990""";"=""""";"przedszkole@puchatkowo.eu";"";"niepubliczna";"Dzieci lub młodzież";"brak specyfiki";"ANNA SZEWCZYK-MISIAK";"2015.09.25";"2017.10.01";"";"Spółki Handlowe";"BEMA EDUKACJA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ";"=""367284237""";"=""6342895977""";"ŚLĄSKIE";"Katowice";"Katowice";"samodzielna";"";"";"";"0";"";"";"Nie";"Nie";"Nie";"";"";"";"";"";""
"23750";"=""243060264""";"=""6342342250""";"Placówka Kształcenia Ustawicznego - bez szkół";"AKADEMIA SZTUKI MASAŻU MENOS";"=""24""";"=""2469""";"=""2469011""";"=""0937474""";"=""09902""";"ŚLĄSKIE";"Katowice";"Katowice";"Katowice";"miasto";"ul. Kredytowa";"=""17""";"=""11""";"=""40-562""";"Katowice";"=""327979427""";"=""""";"menos@akademiamasazu.pl";"";"niepubliczna";"Bez kategorii";"brak specyfiki";" ";"2008.08.28";"2008.09.01";"";"Osoba fizyczna";"Knapik Aleksandra";"=""""";"=""""";"ŚLĄSKIE";"Katowice";"Katowice";"samodzielna";"";"";"";"0";"";"";"Nie";"Nie";"Nie";"";"";"";"";"";""
"30755";"=""243066835""";"=""6462915010""";"Przedszkole";"AKADEMIA WESOŁEGO PRZEDSZKOLAKA PRZEDSZKOLE NIEPUBLICZNE Z ODDZIAŁAMI INTEGRACYJNYMI";"=""24""";"=""2469""";"=""2469011""";"=""0937474""";"=""00432""";"ŚLĄSKIE";"Katowice";"Katowice";"Katowice";"miasto";"ul. Armii Krajowej";"=""268""";"=""""";"=""40-672""";"Katowice";"=""323539140""";"=""""";"biuro@wesoly-przedszkolak.pl";"";"niepubliczna";"Dzieci lub młodzież";"brak specyfiki";"Małgorzata Trólka";"2011.09.09";"2011.09.12";"";"Spółki Handlowe";"AKADEMIA M. TRÓLKA SPÓŁKA JAWNA";"=""241947661""";"=""""";"ŚLĄSKIE";"Katowice";"Katowice";"samodzielna";"";"";"";"67";"";"angielski";"Tak";"Tak";"Nie";"ogólnodostępny";"Wczesne wspomaganie rozwoju";"";"";"";""
"480682";"=""526272889""";"=""9540007281""";"Szkoła policealna";"AKADEMICKA SZKOŁA POLICEALNA W KATOWICACH";"=""24""";"=""2469""";"=""2469011""";"=""0937474""";"=""06530""";"ŚLĄSKIE";"Katowice";"Katowice";"Katowice";"miasto";"ul. Harcerzy Września 1939";"=""5""";"=""""";"=""40-659""";"Katowice";"=""323570570""";"=""""";"policealna@akademiagornoslaska.pl";"policealna.akademiagornoslaska.pl";"niepubliczna";"Bez kategorii";"brak specyfiki";"WOJCIECH MAGIEROWSKI";"2023.08.29";"2023.09.01";"";"Uczelnia Niepubliczna";"AKADEMIA GÓRNOŚLĄSKA  IM. WOJCIECHA KORFANTEGO W KATOWICACH";"=""272199522""";"=""""";"ŚLĄSKIE";"Katowice";"Katowice";"samodzielna";"";"";"";"577";"";"angielski, ukraiński";"Nie";"Nie";"Nie";"ogólnodostępny";"";"Technik bezpieczeństwa i higieny pracy, Asystentka stomatologiczna, Technik masażysta, Terapeuta zajęciowy, Technik administracji, Asystent osoby niepełnosprawnej, Technik usług kosmetycznych, Florysta, Opiekun medyczny";"";"";""
"481860";"=""528588540""";"=""9542396559""";"Placówka Kształcenia Ustawicznego - bez szkół";"AKADEMICKIE CENTRUM SZKOLENIOWE WSZOP";"=""24""";"=""2469""";"=""2469011""";"=""0937474""";"=""22300""";"ŚLĄSKIE";"Katowice";"Katowice";"Katowice";"miasto";"ul. ks. Franciszka Ścigały";"=""9""";"=""""";"=""40-208""";"Katowice";"=""323559790""";"=""""";"kancelaria@wszop.edu.pl";"";"niepubliczna";"Bez kategorii";"brak specyfiki";"ANNA SIKORSKA";"2024.05.10";"2024.09.01";"";"Uczelnia Niepubliczna";"WYŻSZA SZKOŁA ZARZĄDZANIA OCHRONĄ PRACY W KATOWICACH";"=""277705496""";"=""""";"ŚLĄSKIE";"Katowice";"Katowice";"samodzielna";"";"";"";"0";"";"";"Nie";"Nie";"Nie";"";"";"";"";"";""
